,Artist,Song,Emotion
2497,evanescence,my_immortal,angry
2498,franz_ferdinand,come_on_home,relaxed
2499,green_day,longview,sad
2500,jackson_5,abc,relaxed
2501,jefferson_airplane,somebody_to_love,happy
2502,mamas_and_the_papas,words_of_love,happy
2503,replacements,answering_machine,sad
2504,robert_johnson,sweet_home_chicago,relaxed
2505,roy_orbison,running_scared,angry
2506,throwing_muses,hate_my_way,angry
2507,unloco,Bystander (Album Version),relaxed
2508,yeah_yeah_yeahs,maps,happy
